Player,Rk,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,PasPress,Sw,PasCrs,CK,CkIn,CkOut,CkStr,PasGround,PasLow,PasHigh,PaswLeft,PaswRight,PaswHead,TI,PaswOther,PasCmp,PasOff,PasOut,PasInt,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Press,PresSucc,Press%,PresDef3rd,PresMid3rd,PresAtt3rd,Blocks,BlkSh,BlkShSv,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,DriSucc,DriAtt,DriSucc%,DriPast,DriMegs,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,RecTarg,Rec,Rec%,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%
?tefan Radu,2200,ROU,DF,Lazio,Serie A,35.0,1986,10,6,556,6.2,0.0,0.32,0.16,50.0,0.0,0.0,23.9,0.0,0.0,0.0,43.1,52.6,81.9,748.4,301.9,19.2,21.0,91.5,20.5,24.5,83.6,2.74,5.48,50.0,0.0,0.16,3.39,0.0,0.0,2.58,52.6,46.3,6.29,0.48,0.0,4.68,0.32,1.13,0.0,0.0,0.0,0.0,36.3,6.94,9.35,36.8,6.61,2.26,5.81,0.0,43.1,0.0,1.29,1.94,1.29,0.32,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,0.81,0.65,0.65,0.0,0.48,1.45,33.3,0.97,8.87,2.9,32.7,3.87,4.68,0.32,1.45,0.32,0.0,1.13,1.61,2.9,3.06,0.0,61.1,5.97,27.1,29.0,7.74,0.65,55.0,0.32,0.48,66.7,0.48,0.0,35.8,173.5,75.5,2.58,0.48,0.0,0.32,0.48,39.7,38.1,95.9,0.16,0.32,0.0,0.0,0.81,0.97,0.0,1.13,0.81,0.0,0.0,0.0,7.74,2.1,1.77,54.2
?ukasz Fabia?ski,843,POL,GK,West Ham,Premier League,37.0,1985,37,37,3330,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,27.2,63.2,628.3,407.6,1.81,1.81,100.0,6.05,6.11,99.1,9.08,19.0,47.9,0.0,0.03,0.3,0.0,0.0,0.0,27.2,17.8,9.43,1.86,0.0,2.05,0.7,0.0,0.0,0.0,0.0,0.0,10.4,1.14,15.6,1.57,19.9,0.11,0.0,3.92,17.2,0.0,0.84,0.14,0.08,0.08,0.05,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,100.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.1,26.9,29.1,0.05,0.0,0.0,19.8,0.0,0.0,0.0,0.0,0.0,11.9,63.3,32.8,0.0,0.0,0.0,0.0,0.0,11.2,11.1,99.0,0.0,0.05,0.0,0.0,0.03,0.19,0.0,0.0,0.0,0.0,0.03,0.0,3.84,0.0,0.0,0.0
?ukasz Skorupski,2514,POL,GK,Bologna,Serie A,31.0,1991,36,36,3240,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.2,35.0,75.0,748.9,445.6,5.28,5.36,98.4,8.56,8.72,98.1,10.5,18.9,55.3,0.0,0.0,0.11,0.0,0.0,0.0,35.0,23.5,11.5,3.5,0.0,1.83,1.39,0.0,0.0,0.0,0.0,0.0,18.0,1.39,15.6,2.97,26.2,0.06,0.0,4.56,26.2,0.11,1.06,0.19,0.08,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.14,0.03,20.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,37.9,33.9,37.8,0.11,0.0,0.0,26.5,0.0,0.0,0.0,0.0,0.0,17.3,76.9,38.5,0.0,0.0,0.0,0.03,0.0,16.5,16.4,99.5,0.0,0.11,0.0,0.0,0.06,0.17,0.0,0.0,0.0,0.0,0.06,0.0,4.5,0.0,0.03,0.0
Aaron Connolly,560,IRL,FW,Brighton,Premier League,22.0,2000,4,1,156,1.7,0.0,1.18,0.0,0.0,0.0,0.0,14.9,0.0,0.0,0.0,8.82,10.6,83.3,124.7,5.88,5.29,6.47,81.8,3.53,4.12,85.7,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,10.6,10.0,0.59,0.0,0.0,3.53,0.0,0.59,0.0,0.0,0.0,0.0,8.82,1.76,0.0,0.59,8.82,0.0,0.0,1.18,8.82,0.0,0.0,0.59,0.59,1.18,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.59,15.9,2.94,18.5,2.35,6.47,7.06,1.18,0.0,0.0,1.18,0.0,0.0,0.0,0.0,20.0,0.0,0.0,8.24,12.4,2.35,19.4,0.0,0.59,0.0,0.0,0.0,12.9,77.6,24.7,1.76,0.0,0.0,1.76,0.59,38.2,12.9,33.8,4.12,0.0,0.0,0.0,0.59,4.12,0.0,0.59,0.0,0.0,0.0,0.0,4.12,0.0,4.12,0.0
Aaron Cresswell,594,ENG,DF,West Ham,Premier League,32.0,1989,31,31,2726,30.3,0.07,0.59,0.1,16.7,0.11,0.67,19.9,0.26,0.0,0.0,54.2,67.6,80.2,983.1,410.3,24.2,26.1,92.7,23.5,26.6,88.1,5.91,12.6,46.9,0.1,1.16,4.19,0.79,0.26,5.12,67.6,56.3,11.3,1.88,0.0,6.9,1.58,2.08,1.72,0.43,1.29,0.0,41.8,11.6,14.1,53.3,3.99,1.52,7.69,0.23,54.2,0.33,0.96,1.88,1.85,1.62,0.89,0.66,0.0,0.07,0.0,0.0,0.17,0.07,0.1,0.0,0.0,0.0,0.0,0.99,0.63,0.66,0.26,0.07,0.46,0.89,51.9,0.43,7.03,2.21,31.5,3.66,2.41,0.96,1.58,0.56,0.0,1.02,1.42,2.41,2.51,0.03,75.6,4.72,23.4,36.2,20.2,0.96,64.3,0.1,0.43,23.1,0.1,0.1,46.2,196.5,97.8,3.63,1.55,0.07,0.3,0.36,50.2,48.3,96.4,0.96,0.1,0.0,0.0,0.66,0.43,0.07,2.08,0.63,0.0,0.03,0.0,8.02,1.19,0.99,54.5
Aaron Hickey,1183,SCO,DF,Bologna,Serie A,19.0,2002,36,34,2820,31.3,0.16,0.67,0.42,61.9,0.24,0.38,21.0,0.0,0.0,0.0,34.1,41.7,81.8,534.5,171.3,18.2,20.0,91.0,13.5,16.4,82.2,1.92,3.67,52.2,0.03,0.58,1.18,0.7,0.29,1.63,41.7,33.1,8.63,0.73,0.03,6.65,0.32,1.25,0.0,0.0,0.0,0.0,27.3,8.27,6.1,19.0,13.5,1.02,7.89,0.06,34.1,0.06,0.35,1.12,0.99,1.25,1.05,0.03,0.06,0.0,0.06,0.03,0.13,0.13,0.0,0.0,0.0,0.0,0.0,1.44,0.7,0.73,0.38,0.32,0.51,0.86,59.3,0.35,12.8,3.51,27.4,6.13,4.44,2.24,2.11,0.48,0.0,1.63,1.25,2.68,1.47,0.0,52.6,3.0,16.5,23.7,16.0,1.05,44.2,0.89,1.76,50.9,1.12,0.06,33.5,171.7,94.9,4.22,1.44,0.32,1.02,0.86,35.9,31.3,87.2,2.43,0.22,0.0,0.0,1.44,2.4,0.13,1.25,0.7,0.0,0.0,0.0,5.75,0.54,1.31,29.3
Aaron Lennon,1508,ENG,MF,Burnley,Premier League,35.0,1987,28,17,1551,17.2,0.12,0.7,0.23,33.3,0.17,0.5,19.3,0.0,0.0,0.0,14.8,22.3,66.1,218.7,50.1,9.24,11.6,79.9,4.24,6.16,68.9,0.99,2.62,37.8,0.0,0.58,0.52,0.29,0.12,0.99,22.3,21.8,0.52,0.06,0.0,3.72,0.64,1.74,0.17,0.17,0.0,0.0,14.8,3.2,4.36,2.09,18.8,0.81,0.17,0.0,14.8,0.17,0.41,0.93,1.86,1.86,1.16,0.0,0.29,0.06,0.35,0.0,0.29,0.06,0.0,0.12,0.0,0.12,0.0,2.21,1.05,0.76,0.93,0.52,0.52,2.27,23.1,1.74,20.2,4.83,23.9,5.64,8.26,6.34,1.86,0.23,0.0,1.63,0.87,3.08,0.76,0.0,32.8,1.4,5.58,13.4,15.5,2.79,32.3,0.87,2.15,40.5,1.05,0.06,21.5,106.6,54.7,3.26,0.76,1.05,1.05,0.93,28.0,20.1,71.8,2.97,0.12,0.0,0.0,1.34,1.45,0.23,1.74,1.05,0.0,0.06,0.0,5.29,0.58,1.51,27.8
Aaron Ramsdale,2216,ENG,GK,Arsenal,Premier League,24.0,1998,34,34,3060,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.2,34.0,68.2,658.6,396.7,5.32,5.38,98.9,10.5,10.6,98.3,7.26,17.8,40.9,0.0,0.0,0.82,0.0,0.0,0.03,34.0,25.9,8.12,2.44,0.0,2.59,1.03,0.0,0.0,0.0,0.0,0.0,18.0,1.32,14.7,2.44,25.4,0.03,0.03,4.62,23.2,0.09,1.35,0.5,0.12,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,36.7,29.3,36.4,0.41,0.0,0.0,28.7,0.06,0.06,100.0,0.06,0.0,20.1,104.0,54.4,0.0,0.0,0.0,0.0,0.0,18.0,17.8,99.2,0.0,0.03,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,5.38,0.0,0.03,0.0
Aaron Ramsey,2217,WAL,MF,Juventus,Serie A,31.0,1990,3,1,99,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.5,60.9,89.6,1070.9,249.1,22.7,25.5,89.3,22.7,24.5,92.6,9.09,10.9,83.3,0.0,1.82,4.55,0.0,0.0,3.64,60.9,57.3,3.64,2.73,0.0,8.18,1.82,0.0,0.0,0.0,0.0,0.0,47.3,6.36,7.27,26.4,30.9,3.64,0.0,0.0,54.5,0.0,0.0,1.82,0.0,1.82,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.64,0.0,0.0,1.82,1.82,0.0,0.0,0.0,0.0,0.0,1.82,1.82,0.0,0.0,62.7,1.82,16.4,37.3,10.0,1.82,60.0,0.0,0.0,0.0,0.0,0.0,42.7,140.9,56.4,1.82,0.91,0.0,0.91,0.91,55.5,53.6,96.7,1.82,0.0,0.0,0.0,0.91,0.91,0.0,0.0,0.0,0.0,0.0,0.0,3.64,0.0,0.0,0.0
Aaron Wan-Bissaka,2820,ENG,DF,Manchester Utd,Premier League,24.0,1997,20,20,1793,19.9,0.0,0.25,0.05,20.0,0.0,0.0,13.5,0.0,0.0,0.0,46.7,55.9,83.5,694.3,233.1,27.8,30.4,91.4,15.0,17.3,86.7,2.41,4.42,54.5,0.0,0.7,2.16,0.6,0.35,2.66,55.9,46.9,9.05,0.55,0.0,7.04,1.01,1.11,0.0,0.0,0.0,0.0,39.4,11.6,4.97,3.52,42.1,1.21,8.49,0.0,46.7,0.1,0.5,2.56,1.81,1.56,1.26,0.0,0.15,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,2.31,1.26,1.31,0.65,0.35,0.35,0.9,38.9,0.55,11.3,3.22,28.4,5.33,3.92,2.06,2.81,0.75,0.05,2.06,2.56,4.87,2.41,0.0,68.5,4.22,23.6,30.9,18.5,1.31,59.5,1.81,2.91,62.1,1.91,0.25,43.2,200.7,112.8,4.72,1.66,0.2,0.55,1.41,44.3,40.2,90.8,1.86,0.1,0.0,0.0,0.95,0.85,0.05,1.11,1.26,0.0,0.05,0.0,8.24,0.95,1.56,38.0
