rank,player,team,position,assists,xg_assist,xa_per90,minutes_played,pas_rating
1,Lionel Messi,Argentina,FW,3,2.5,0.33,690,99
2,Antoine Griezmann,France,MF,3,3.1,0.52,537,95
3,Bruno Fernandes,Portugal,MF,3,1.7,0.43,356,88
4,Ivan Perišić,Croatia,FW,3,0.9,0.12,669,86
5,Ousmane Dembélé,France,FW,2,1.6,0.33,433,84
6,Kylian Mbappé,France,FW,2,1.3,0.2,598,84
7,Harry Kane,England,FW,3,1.5,0.34,402,82
8,Theo Hernández,France,DF,2,1.2,0.21,508,80
9,Jordi Alba,Spain,DF,2,0.9,0.31,264,78
10,Vinicius Júnior,Brazil,FW,2,0.7,0.21,299,75
11,Alexis Mac Allister,Argentina,MF,1,1.0,0.16,550,75
12,Enzo Fernández,Argentina,MF,1,0.9,0.14,564,75
13,Lucas Paquetá,Brazil,MF,1,1.5,0.43,314,73
14,Raphinha,Brazil,FW,1,1.3,0.37,315,73
15,Serge Gnabry,Germany,FW,1,1.5,0.51,263,72
16,Mislav Oršić,Croatia,FW,2,1.1,0.61,162,72
17,Leroy Sané,Germany,MF,1,1.8,1.46,111,70
18,Marcus Thuram,France,FW,2,0.2,0.12,151,68
19,Kaoru Mitoma,Japan,MF,1,1.2,0.65,165,67
20,César Azpilicueta,Spain,DF,1,0.7,0.47,135,66
21,Mateo Kovačić,Croatia,MF,0,1.0,0.14,635,62
22,Aurélien Tchouaméni,France,MF,0,1.0,0.14,621,62
23,Adrien Rabiot,France,MF,1,0.9,0.17,483,62
24,Thiago Silva,Brazil,DF,1,0.9,0.21,390,62
25,Pedri,Spain,MF,0,0.8,0.2,356,62
26,Richarlison,Brazil,FW,0,1.0,0.28,323,62
27,Yahya Attiat Allah,Morocco,DF,1,1.2,0.34,318,62
28,Marquinhos,Brazil,DF,0,0.8,0.17,426,62
29,Joshua Kimmich,Germany,MF,0,1.1,0.37,270,62
30,Luka Modrić,Croatia,MF,0,0.7,0.1,653,62
31,Youssouf Sabaly,Senegal,DF,0,0.7,0.18,360,62
32,Lisandro Martínez,Argentina,DF,0,0.7,0.21,303,62
33,Kevin De Bruyne,Belgium,FW,0,0.9,0.3,270,62
34,Jamal Musiala,Germany,MF,1,0.9,0.31,258,62
35,Hirving Lozano,Mexico,FW,0,1.0,0.36,252,62
36,Neymar,Brazil,MF,0,0.8,0.26,279,62
37,Dani Olmo,Spain,FW,1,0.5,0.12,367,62
38,Hakim Ziyech,Morocco,FW,1,0.7,0.1,635,62
39,Ángel Di María,Argentina,MF,1,0.6,0.19,288,62
40,Xherdan Shaqiri,Switzerland,FW,1,0.9,0.35,229,61
41,Silvan Widmer,Switzerland,DF,1,0.8,0.27,265,61
42,Nahuel Molina,Argentina,DF,1,0.3,0.05,567,61
43,Rodrigo De Paul,Argentina,MF,0,0.3,0.05,599,61
44,Son Heung-min,Korea Republic,FW,1,1.0,0.25,360,61
45,Ismaila Sarr,Senegal,FW,0,0.4,0.1,344,61
46,Thorgan Hazard,Belgium,FW,0,1.3,1.1,106,61
47,Borna Sosa,Croatia,DF,0,0.4,0.08,424,61
48,Luke Shaw,England,DF,1,0.8,0.17,424,61
49,Marcos Acuña,Argentina,DF,0,0.3,0.07,373,61
50,Christian Pulisic,United States,FW,2,0.9,0.26,315,61
51,Maya Yoshida,Japan,DF,1,0.4,0.09,390,61
52,Nicolás Otamendi,Argentina,DF,1,0.2,0.03,690,61
53,Ruben Vargas,Switzerland,FW,1,0.6,0.19,285,61
54,Wataru Endo,Japan,MF,0,0.5,0.15,304,61
55,David Raum,Germany,DF,1,0.6,0.22,242,61
56,Riley McGree,Australia,FW,1,0.6,0.2,265,61
57,Achraf Hakimi,Morocco,DF,1,0.5,0.07,631,61
58,Josip Juranović,Croatia,DF,1,0.3,0.04,600,61
59,Azzedine Ounahi,Morocco,MF,0,0.5,0.08,568,61
60,Andrija Živković,Serbia,DF,2,1.1,0.47,210,61
61,Rodri,Spain,DF,0,0.2,0.05,390,61
62,Abdelhamid Sabiri,Morocco,MF,1,0.9,0.45,181,61
63,Nicolás Tagliafico,Argentina,DF,0,0.2,0.05,373,61
64,Craig Goodwin,Australia,MF,1,0.6,0.23,234,61
65,Thomas Müller,Germany,FW,0,0.6,0.27,201,61
66,Ismail Jakobs,Senegal,DF,1,0.3,0.1,278,61
67,Julián Álvarez,Argentina,FW,0,0.1,0.02,464,61
68,Diogo Dalot,Portugal,DF,2,0.7,0.24,258,61
69,Marcelo Brozović,Croatia,MF,0,0.2,0.03,552,61
70,Andrej Kramarić,Croatia,FW,0,0.2,0.04,474,61
71,Cody Gakpo,Netherlands,FW,0,0.6,0.12,450,61
72,Thomas Meunier,Belgium,DF,0,0.5,0.21,211,61
73,Ibrahima Konaté,France,DF,0,0.4,0.12,294,61
74,César Montes,Mexico,DF,1,0.5,0.17,270,61
75,Luis Chávez,Mexico,MF,0,0.5,0.17,270,61
76,Raphaël Guerreiro,Portugal,DF,2,0.6,0.19,279,61
77,Sergio Busquets,Spain,MF,0,0.1,0.02,363,61
78,Bukayo Saka,England,FW,0,0.7,0.22,288,61
79,Youssef Msakni,Tunisia,MF,0,0.6,0.32,169,61
80,Mathew Leckie,Australia,MF,1,0.3,0.08,333,61
81,Abdou Diallo,Senegal,DF,0,0.1,0.03,331,61
82,Cristian Romero,Argentina,DF,0,0.0,0.0,547,61
83,Emiliano Martínez,Argentina,GK,0,0.0,0.0,690,61
84,Alphonso Davies,Canada,MF,0,0.5,0.17,270,61
85,Toby Alderweireld,Belgium,DF,1,0.3,0.1,270,61
86,Aïssa Laïdouni,Tunisia,MF,1,0.4,0.15,243,61
87,Hassan Al-Haydos,Qatar,MF,0,0.6,0.26,206,61
88,Tajon Buchanan,Canada,MF,1,0.5,0.17,260,61
89,Félix Torres Caicedo,Ecuador,DF,1,0.4,0.13,270,61
90,Sofiane Boufal,Morocco,FW,0,0.3,0.06,475,61
91,Junya Ito,Japan,MF,1,0.2,0.06,324,61
92,Ángelo Preciado,Ecuador,DF,1,0.4,0.14,264,61
93,Unai Simón,Spain,GK,0,0.0,0.0,390,61
94,Gavi,Spain,MF,0,0.1,0.03,284,61
95,Ferrán Torres,Spain,FW,0,0.2,0.08,217,61
96,Bruno Petković,Croatia,FW,0,0.3,0.12,234,61
97,Rodrygo,Brazil,MF,1,0.4,0.2,181,61
98,Daley Blind,Netherlands,DF,1,0.5,0.11,423,61
99,Idrissa Gana Gueye,Senegal,MF,0,0.1,0.03,270,61
100,Mehdi Taremi,IR Iran,FW,1,0.7,0.23,270,61
101,Kalidou Koulibaly,Senegal,DF,0,0.0,0.0,360,61
102,Edouard Mendy,Senegal,GK,0,0.0,0.0,360,61
103,Kim Moonhwan,Korea Republic,DF,0,0.6,0.15,360,61
104,Ricardo Rodríguez,Switzerland,DF,0,0.2,0.05,359,61
105,Aleksandar Mitrović,Serbia,FW,0,0.7,0.24,262,61
106,Bernardo Silva,Portugal,MF,0,0.4,0.1,356,61
107,Jordan Ayew,Ghana,FW,1,0.5,0.33,136,61
108,Dušan Tadić,Serbia,MF,2,0.7,0.25,257,61
109,Casemiro,Brazil,MF,0,0.1,0.02,390,61
110,Leander Dendoncker,Belgium,DF,0,0.4,0.22,161,61
111,Mario Pašalić,Croatia,FW,0,0.2,0.07,271,61
