rank,player,team,position,total_tackles,tackles_won,tackle_win_rate_pct,tackle_score
1,Marquinhos,Paris S-G,DF,30,19,75.8,73.07176004162308
2,Nuno Mendes,Paris S-G,DF,30,19,59.0,67.99561584835928
3,Rúben Dias,Manchester City,DF,17,11,53.8,66.51481151774308
4,William Saliba,Arsenal,DF,62,37,75.0,65.32245116933441
5,Cristian Romero,Tottenham,DF,35,29,70.0,65.12344586583927
6,Lisandro Martínez,Manchester Utd,DF,40,24,58.3,64.94829542125287
7,Ibrahima Konaté,Liverpool,DF,40,26,71.4,64.77155654806091
8,Virgil van Dijk,Liverpool,DF,38,20,59.1,64.43337382904092
9,Dani Ceballos,Real Madrid,MF,41,21,50.0,22.686207021873525
10,Pau Cubarsí,Barcelona,DF,34,23,63.3,22.32656655928364
11,Lucas Beraldo,Paris S-G,DF,38,31,62.2,21.909911764513318
12,Leon Goretzka,Bayern Munich,"MF,DF",21,11,50.0,21.48936186611697
13,Federico Valverde,Real Madrid,"MF,DF",50,30,67.4,20.57002398420103
14,Dayot Upamecano,Bayern Munich,DF,36,22,55.2,20.455512422027184
15,Myles Lewis-Skelly,Arsenal,DF,22,14,90.9,19.938036430521105
16,Manuel Akanji,Manchester City,DF,19,12,64.7,18.703934881747568
17,Lewis Dunk,Brighton,DF,17,10,57.9,18.361637837573316
18,Pierre Kalulu,Juventus,DF,41,25,75.0,18.28323481303893
19,Przemysław Frankowski,Lens,DF,32,21,63.3,17.667529975510657
20,Ryan Gravenberch,Liverpool,MF,69,35,57.1,17.45994620539634
21,Joshua Kimmich,Bayern Munich,MF,47,29,60.0,16.62062659257125
22,Iñigo Martínez,Barcelona,DF,25,14,72.7,15.763628078804311
23,Lee Kang-in,Paris S-G,"FW,MF",25,17,54.3,15.63776626955395
24,Calvin Bassey,Fulham,DF,54,34,71.0,15.612656830226236
25,José Luis García Vayá,Valencia,MF,43,25,57.6,15.559646297201555
26,Federico Gatti,Juventus,DF,28,23,58.3,14.964094793457855
27,Jonathan Tah,Leverkusen,DF,19,12,62.5,14.730682375323463
28,Federico Baschirotto,Lecce,DF,37,25,78.6,14.497200798054987
29,Eliesse Ben Seghir,Monaco,"MF,FW",31,22,56.3,14.352040147996492
30,Frenkie de Jong,Barcelona,MF,19,11,50.0,14.27494470443071
31,Aaron Wan-Bissaka,West Ham,DF,70,49,71.9,14.24488901995603
32,Granit Xhaka,Leverkusen,MF,48,26,57.1,14.185669201585036
33,Curtis Jones,Liverpool,"MF,DF",39,22,63.0,14.125837056107082
34,Luis Henrique,Marseille,"DF,FW",16,9,90.0,13.923746757255225
35,Logan Costa,Villarreal,DF,38,21,82.8,13.829675324370001
36,Amir Rrahmani,Napoli,DF,39,31,64.0,13.683889118379598
37,Konrad Laimer,Bayern Munich,DF,49,27,47.9,13.496478148428414
38,Cristhian Mosquera,Valencia,DF,56,36,77.5,13.375306536979705
39,Gabriel Magalhães,Arsenal,DF,25,15,75.0,13.320180655408407
40,Willian Pacho,Paris S-G,DF,56,32,71.9,13.246351415056811
41,Denis Zakaria,Monaco,MF,41,26,72.7,12.933623636359822
42,Levi Colwill,Chelsea,DF,47,34,66.7,12.843340093105564
43,Marash Kumbulla,Espanyol,DF,51,26,58.5,12.74614308269619
44,Manuel Locatelli,Juventus,MF,72,49,57.1,12.675304335902766
45,Mattéo Guendouzi,Lazio,MF,37,21,42.6,12.627071168820132
46,Pedri,Barcelona,MF,61,34,34.3,12.618959091041413
47,İlkay Gündoğan,Manchester City,MF,25,13,41.7,12.598015001760764
48,Daley Blind,Girona,DF,49,27,64.6,12.590460580559135
49,Angelo Stiller,Stuttgart,MF,49,27,46.7,12.49813331858674
50,Moisés Caicedo,Chelsea,"MF,DF",114,73,62.8,12.44248915903895
51,Vitinha,Paris S-G,MF,43,23,52.1,12.441278609200305
52,David Raum,RB Leipzig,DF,38,28,57.1,12.397923959909201
53,Joško Gvardiol,Manchester City,DF,58,39,52.5,12.385175086524375
54,Bruno Fernandes,Manchester Utd,MF,84,50,40.0,12.359723684546939
55,Pierre Højbjerg,Marseille,MF,64,45,53.6,12.358749265921364
56,Murillo,Nott'ham Forest,DF,53,36,58.7,12.346984214359386
57,Jan Bednarek,Southampton,DF,36,19,51.6,12.326203337491409
58,Giovanni Di Lorenzo,Napoli,DF,66,44,64.6,12.300798314285641
59,Maximilian Mittelstädt,Stuttgart,DF,79,54,72.6,12.225807922616333
60,Emre Can,Dortmund,"DF,MF",50,28,50.0,12.208360070890858
61,Diogo Leite,Union Berlin,DF,64,32,66.0,12.19593871573992
62,Romano Schmid,Werder Bremen,MF,43,25,47.1,12.125033831033797
63,Bruno Guimarães,Newcastle Utd,MF,83,47,47.8,12.115986593042432
64,Mickael Nade,Saint-Étienne,DF,59,43,77.8,12.105599072351804
65,Albert Sambi Lokonga,Sevilla,MF,22,15,71.4,12.068089342373872
66,Azor Matusiwa,Rennes,MF,64,39,74.4,11.996164709160137
67,Valentin Rongier,Marseille,"MF,DF",50,28,62.8,11.8946940782558
68,Marcos Alonso,Celta Vigo,DF,35,21,56.8,11.879863988585452
69,Christopher Nkunku,Chelsea,FW,12,8,75.0,11.859626796956258
