Team,1st,2nd,3rd,4th,qualify
Spain,0.6641,0.2217,0.0851,0.0291,0.9535
Switzerland,0.5407,0.2913,0.1244,0.0436,0.9399
Brazil,0.4192,0.3436,0.1823,0.0549,0.9144
Morocco,0.4346,0.3306,0.1747,0.0601,0.9103
Germany,0.4621,0.2919,0.1821,0.0639,0.9078
England,0.5577,0.2659,0.1241,0.0523,0.8986
Canada,0.3388,0.3943,0.1847,0.0822,0.8894
Japan,0.4333,0.3178,0.1673,0.0816,0.8869
France,0.5094,0.2709,0.1452,0.0745,0.885
Argentina,0.5123,0.2538,0.1531,0.0808,0.8695
Netherlands,0.3983,0.3246,0.1843,0.0928,0.8666
South Korea,0.4117,0.2924,0.1907,0.1052,0.8647
Mexico,0.3611,0.3267,0.2013,0.1109,0.8615
Ecuador,0.3133,0.3469,0.2374,0.1024,0.8545
Portugal,0.4331,0.2885,0.1782,0.1002,0.8279
Iran,0.339,0.2887,0.2252,0.1471,0.7878
Uruguay,0.2086,0.4147,0.246,0.1307,0.7849
Senegal,0.2907,0.3277,0.2438,0.1378,0.7714
Turkey,0.3101,0.2591,0.2331,0.1977,0.7604
Belgium,0.3197,0.2657,0.2318,0.1828,0.7602
Ivory Coast,0.196,0.2781,0.3652,0.1607,0.7522
Croatia,0.2644,0.349,0.2496,0.137,0.7409
Colombia,0.3089,0.3052,0.2311,0.1548,0.7402
United States,0.2501,0.2543,0.249,0.2466,0.7015
Egypt,0.2265,0.2601,0.2817,0.2317,0.6741
Paraguay,0.224,0.2385,0.262,0.2755,0.6713
Australia,0.2158,0.2481,0.2559,0.2802,0.6692
Scotland,0.1141,0.233,0.4077,0.2452,0.6654
Austria,0.2042,0.2814,0.2777,0.2367,0.6439
Algeria,0.1728,0.2713,0.2859,0.27,0.6026
Norway,0.1367,0.2592,0.343,0.2611,0.5984
Czech Republic,0.1157,0.1972,0.3191,0.368,0.565
Tunisia,0.1079,0.2129,0.3543,0.3249,0.5488
Uzbekistan,0.1624,0.231,0.3018,0.3048,0.5351
Panama,0.1211,0.2478,0.3588,0.2723,0.5277
South Africa,0.1115,0.1837,0.2889,0.4159,0.5183
Qatar,0.0663,0.1613,0.3391,0.4333,0.4866
New Zealand,0.1148,0.1855,0.2613,0.4384,0.4667
Bosnia and Herzegovina,0.0542,0.1531,0.3518,0.4409,0.4633
Jordan,0.1107,0.1935,0.2833,0.4125,0.4485
Cape Verde,0.0729,0.1827,0.3308,0.4136,0.4235
Saudi Arabia,0.0544,0.1809,0.3381,0.4266,0.4134
DR Congo,0.0956,0.1753,0.2889,0.4402,0.3932
Sweden,0.0605,0.1447,0.2941,0.5007,0.3884
Iraq,0.0632,0.1422,0.268,0.5266,0.3394
Haiti,0.0321,0.0928,0.2353,0.6398,0.2896
Ghana,0.0568,0.1373,0.2675,0.5384,0.2871
Curaçao ,0.0286,0.0831,0.2153,0.673,0.2505
