player,nation,squad,saves,save%,wc_saves,Predicted_WC_Saves
Mark Flekken,nl NED,Brentford,150.0,73.4,0.0,27
Joan García,es ESP,Barcelona,140.0,75.5,0.0,26
Yehvann Diouf,sn SEN,Reims,131.0,76.0,0.0,24
Matz Sels,be BEL,Nott'ham Forest,119.0,73.9,0.0,22
Lucas Perri,br BRA,Lyon,116.0,74.4,0.0,21
Jordan Pickford,eng ENG,Everton,117.0,73.0,7.0,21
Manuel Neuer,de GER,Bayern Munich,0.0,72.0,19.0,20
Emiliano Martínez,ar ARG,Aston Villa,96.0,69.0,6.0,18
Zion Suzuki,jp JPN,Parma,99.0,68.0,0.0,18
Nikola Vasilj,ba BIH,St. Pauli,93.0,71.9,0.0,17
Mike Maignan,fr FRA,Milan,97.0,70.6,0.0,17
Gerónimo Rulli,ar ARG,Marseille,87.0,67.4,0.0,16
David Raya,es ESP,Arsenal,86.0,74.2,0.0,16
Oliver Baumann,de GER,Hoffenheim,84.0,63.0,0.0,16
Robert Sánchez,es ESP,Chelsea,92.0,76.4,0.0,16
